TreeNum,Response,Easting,Northing,TreesPClus,BAPClus,SDI_20th,BA_20th,BA_Inf_20th,BA_Inf_20th_IND,NeighSDIAlt25_91,IndDBHIn,DeadDist,DeadDistInd,NeighBSA9125,NeighBSA915,NeighBSA911,NeighBSA9115,bsadead25new,bsadead5new,bsadead1new,bsadead15new,bsadead25newind,bsadead5newind,bsadead1newind,bsadead15newind
1,0,766124.3808,4333846.342,15,24.128496,3.447468624,1.843452,0,0,14.14867197,7,49.65012717,1,8.573688,21.745098,77.03775,112.76145,0,0,0,0,0,0,0,0
2,0,766138.6395,4333862.622,15,24.128496,5.612227884,3.365118,0,0,43.54438551,6,31.57695778,1,30.02427,54.218214,126.740052,174.707982,0,0,5.34492,11.34432,0,0,1,1
3,0,766133.555,4333854.833,15,24.128496,6.538921493,4.150494,0,0,33.87840594,6,38.51192214,1,22.235958,36.454536,95.941314,160.931178,0,0,0,7.52652,0,0,0,1
4,0,766142.1546,4333858.689,15,24.128496,18.21713996,12.647826,0,0,32.05986966,7,29.12140948,1,21.919626,50.427684,112.696002,164.32902,0,0,9.375426,13.984056,0,0,1,1
5,0,766141.1526,4333857.993,15,24.128496,13.52220455,9.484506,0,0,33.39981135,12,30.29468654,1,22.705002,49.505958,113.917698,154.506366,0,0,7.52652,11.34432,0,0,1,1
6,0,766142.0029,4333857.263,15,24.128496,13.52220455,9.484506,0,0,32.05986966,8,29.74744285,1,21.919626,50.427684,104.940414,157.691502,0,0,7.52652,13.984056,0,0,1,1
7,0,766147.5703,4333858.562,15,24.128496,17.07768187,12.102426,0,0,40.08889683,14,24.09804331,1,28.568052,66.413358,111.965166,169.45578,0,5.34492,11.34432,25.541082,0,1,1,1
8,0,766140.7057,4333853.88,15,24.128496,8.701482067,5.355828,0,0,41.19723249,8,31.89620816,1,27.995382,36.86904,96.312186,157.249728,0,0,5.34492,13.984056,0,0,1,1
9,0,766141.393,4333853.84,15,24.128496,10.41755404,6.424812,0,0,41.19723249,15,31.2374731,1,27.995382,41.690376,95.183208,156.589794,0,0,5.34492,13.984056,0,0,1,1
10,0,766138.449,4333849.022,15,24.128496,8.455940729,5.377644,0,0,36.52002759,20,35.4663525,1,24.46119,30.24243,81.084618,145.000044,0,0,1.396224,13.984056,0,0,1,1
11,0,766135.6485,4333846.89,15,24.128496,5.399463399,3.605094,0,0,31.82509218,15,38.8444403,1,21.29787,30.329694,76.81959,129.47796,0,0,0,5.34492,0,0,0,1
12,0,766146.3207,4333846.643,15,24.128496,5.723934207,4.112316,0,0,30.50386496,15,29.32063598,1,20.850642,40.103262,86.189562,129.188898,0,0,12.015162,17.987292,0,0,1,1
13,0,766113.1054,4333845.99,15,24.128496,1.569718549,0.87264,0,0,13.12251134,4,60.58695464,0,7.493796,24.712074,71.131068,109.876284,0,0,0,0,0,0,0,0
14,0,766298.8729,4333855.486,9,13.378662,13.68940189,8.693676,0,0,28.67225515,10,78.49183249,0,16.449264,31.52412,53.471016,113.017788,0,0,0,0,0,0,0,0
